# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
6, 3, 0.3 0.3 0.3   3
# Nicolai Configuration Number
0
# Number of Solutions and Dumped-Solutions
8, 167 / 267
# Signs of Determinants
1 1 1 1 1 1 1 1
# Max norm of residue
1.2162e-15
# Configuration of Gaussian random numbers
   (-10.151513047875580398,0.70299741361316825383)     (-10.853307386487122344,5.3566519691156173621)    (-0.80284012575612373475,3.6433327876837351411)
    (3.8709486832413113611,-1.0543062920480061884)      (3.8078624936093516951,3.8880218483893083103)    (-3.6571843211723233935,-2.0313106108683509632)
    (-7.6017611415547214904,2.3345512427791019761)    (-3.0912703408671315941,-4.9970420707680629491)    (-6.6518568807857469949,-4.4269679841592184388)
   (-3.3944844093052299883,-1.7077138542679450861)      (7.1057677490175592538,1.9014613967837508124)      (7.5588480224357281756,2.9608745914790848275)
    (-2.445217471964792999,-3.2714984625632066439)     (1.0191420393426875446,0.19336766316324616177)    (1.6584887779288239873,0.018927037982393098148)
   (-1.4023539086547129884,-2.2666683071794908599)   (-12.887521162582920908,-0.91611481066103583881)     (-8.635180651560794729,-3.6704923734856129691)
     (-7.829022209135398036,3.0385638663168492712)      (2.3572965018088449796,7.1640569649271679253)     (1.1210438023005200314,-3.5332724681577540871)
  (-0.22384331133900531308,-1.2149144133618792196)     (-4.7804294395303248422,6.9954864280271191745)   (-0.40950594050824890013,-4.9493488214955076998)
    (0.048347230579490849123,3.544695085072879337)    (-0.17515692370908633735,3.0508073899850298716)      (7.1309860004296465874,1.2586994349107827329)
   (-4.0729214993257176758,-2.8570465318544542299)     (5.1312092440923011694,-4.4975682132207870367)    (-5.2867063838014871635,-1.3857324351409081586)
   (-0.27013140880588282222,6.7555473093191267253)    (2.8518203610523271685,-0.99271147119458058583)     (3.1697830951887251416,-3.5257674374842702392)
    (6.3056492209955807837,-4.2099618273262953139)   (-0.41736025451979441581,0.84726732085984823861)      (9.7403721704889285604,2.1963502181751626274)
     (7.5760396798811040497,1.2112953456684771858)     (-1.9060673910431282785,2.3964674210677401334)     (2.5718258741458726035,0.64368939471826314147)
   (-1.4713353085903460027,-5.8135754492223821188)     (-1.0056924359262413571,1.3877417501927944432)    (-4.1485821517713610262,-1.1925223760139060936)
(0.00058475754347688468308,-2.8299582155674327666)     (1.8519041331756460611,-6.5135751296527830689)     (-9.4719680040764036022,2.9331196464182238692)
   (-2.6274865336764139379,0.42079260102192422854)     (2.2911082545933627586,-2.8906028611151288743)     (-0.4861776717561733796,-1.813722196548672505)
    (-3.0767435308303254793,1.2503743992017919417)     (10.423175854163337917,-4.4445882442207036434)   (-3.3625201284060519669,-0.85045847422250064884)
  (-0.41308227174342204702,-1.3840847126910404974)       (-1.21009122112781764,1.1193189608005280622)     (-2.039362227607207867,-4.8019634994143851614)
     (6.0367396237788240043,7.1102205665205255869)     (0.93966603145935856389,7.6391237574294166279)    (3.3259118076222233817,-0.20697100827513784105)
    (4.7791105548997263597,-6.3263054750170084617)       (2.229714105557092374,3.7151977735005261572)     (0.5324167804785254754,-9.6827212104213202792)
     (7.1503446621834552133,5.6481598838895372694)     (3.4209950729846179129,-8.4767701593697193374)     (1.2560344763772701704,-1.0043967252362389075)
    (5.548960112498034114,-0.25786950729667473814)      (1.6422375173731251774,5.5714717132356756935)    (-3.5805324804576610376,-4.2320798241658916794)
    (-4.8029291252149324265,2.2209707971948153826)    (-6.6956087842184368597,-2.5873871911723171912)     (4.2412975534995176474,-6.5410780397115066975)
    (4.1631709598330530753,-2.4511650371008695259)      (5.4998002528383054255,2.3013684078896199381)     (-5.2904231876234302234,1.4463685039616958061)
    (-3.1804208513288809712,2.1147420376284546961)    (-4.8414151197962054241,-5.0722860456882248315)      (-3.3334988103134031157,0.672076715013215642)
   (-2.1866371683708782925,-3.8241857274950974421)      (4.4140906224185485485,1.5493764104047160757)     (0.23613464748550253014,1.7776446830704752955)
    (-3.763600680221026451,-3.1338066067444581009)   (-0.65452529454302232903,-4.3904450978730560351)     (3.3574468977088227639,-9.4367053413052861544)
   (-0.18077276402782924136,-7.814583372932562888)     (3.0276972324821809224,-3.6946694264721378076)      (8.4936016996579937199,2.5440873988838590414)
      (1.2527399601393878203,7.050469320261288253)     (-1.4855640049097043054,4.9868674504034817829)     (1.6082643650377075328,-1.8264816701229402707)
  (5.4959297480223394672,-0.036789253376862181277)    (-2.7597313490114463441,-4.7788407745441396912)   (-6.1675614998976113768,-0.29302919873119703809)
     (3.3238403991982661267,2.2656518862016139515)     (4.8657361097885729606,-3.1936511934666631518)     (0.2425418611026460558,-3.7816394987759855972)
   (0.16212344329405056764,-2.8152878996908090592)      (6.5210023153594303125,9.5181159534104580189)   (-3.1134530897723955434,-0.47858255973042934661)
  (-5.1201700094741209313,0.039434378381759421783)      (2.1970249426618368993,3.3499885767899835187)      (4.9424616463466728433,-2.985032941425413533)
     (-6.386294629856592131,4.5868782565773988935)      (-3.3279641671126793945,1.446332545669721803)      (-5.563851869091555713,3.1450377712307475697)
     (4.5744721455284871325,1.0358045059195308824)      (9.7504208584038956076,2.1413613380125950947)     (5.4446439009395728448,-3.2452400469430906504)
    (4.6694785142371326714,-9.8837021439956398439)    (-0.72615875151327857751,10.589351204505419446)   (-0.80184322406312069642,0.47980494587454280975)
      (6.87662446516064918,-1.6181095457541960769)     (-6.5790241106316909026,2.0277644289023011304)      (6.6041507141077850918,1.7482340551886474955)
    (2.233246649751258861,0.092825117912853027935)     (-5.1155355589990838538,2.5784160332820982298)      (2.1396203204758164063,7.4828432550541261747)
    (0.67319977027294342076,1.6753996826624117933)     (1.9837866372488981437,0.52083646260753557744)     (-4.9308232221565324593,1.6916774707972208613)
   (0.24614943024873858768,-6.8364641445179783474)  (-7.4533886358889143153,-0.032331014398346638594)    (-1.9190207689676770375,-1.4483248454506032488)
     (1.8616124952385220137,-2.099001903481424236)   (-6.1285942469820966494,-0.62620570421193200161)     (-1.2084873029367473318,7.1217257403986549136)
     (4.2283906936180359892,0.3239198145810788243)      (0.2856858763680109603,2.8741086714264705293)    (-2.6807979666104251315,0.52671208482161535613)
    (4.0052798092426815657,-4.8689576357991288802)    (-0.77483802454535921633,2.6442685660662217373)      (4.3735912633653004633,1.1262945695293491433)
  (-3.8460105909310047245,-0.45570817695752219301)       (7.7977067155006984933,1.948257432574986181)     (4.7297265185990857717,0.75477972266352200137)
    (4.4712454410347985956,-4.8557773892839719565)      (1.7710308693898724197,7.7868439926941297458)    (5.3372398934804508031,-0.60012338776324414269)
     (-3.9822847566637924466,6.806348569076400068)     (4.3751790484422592442,-7.1685034373391962603)     (0.14751180698574814509,-3.832999046895909423)
    (4.4200704790246234666,-3.5805607052223571429)     (3.2903487488522262794,-3.6102974122231832332)     (-4.806228470971433353,0.33402472727231613536)
   (-1.5854334666341254323,-2.4381496916772138484)     (1.4505309236635888226,-9.9046253942107504997)      (3.9840912448984391325,4.2402237998057561441)
    (1.9420140157142917747,0.45485136995321723274)     (8.7637218739845330617,0.54139977098224656427)    (0.065536517540766614509,3.6986805762907870587)
