# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
6, 3, 0.3 0.3 0.3   3
# Nicolai Configuration Number
0
# Solution Configuration Number
4 / 8
# Sign of Determinant
1
# Norm of residue
1.2162e-15
# Configuration of a scalar field solution
    (-1.6000996129830420411,1.5213729613207509495)    (-0.84114920512611668357,2.2048449632803870379)   (0.18092685860179408275,-0.17281558954300202391)
 (0.095091682139384084427,-0.72671645303779441871)  (0.078609140195912030613,-0.49570147352190524481)  (0.25091962614058427317,-0.058434360070396124121)
    (0.17368639292379597916,1.6257621930038019809)     (-0.67938463254661229929,1.042625191470631707)   (-0.42962121795727892248,0.60461303653616271792)
  (-0.80067352552694470713,0.83596476815185960518)      (0.439052614859841428,-1.9327720685935820821)     (1.8849328214100520285,-2.6490252411113388575)
   (-1.1748568934514698192,0.61638224327654878021)   (0.24227905306625810433,-0.48562509930290898019)  (-0.98517458081998610098,-0.25328751687518080704)
  (-0.02646186879360468841,0.58874175777004222887)     (0.98750867634608208157,1.8667120321858781118)    (0.27473343722013771062,0.57324752505147258397)
    (1.9623157833119513338,0.42518823481942030762)     (0.5733299007071702702,-1.6835428110780639166)     (-0.6124488378565948743,0.6188116751810903704)
 (-0.24758230802513572777,-0.21855986967623539097)    (-0.25205172698923566932,1.8854318585450475787)   (-1.3213289201702627107,-0.73279560455425218901)
    (0.62672018817874053376,1.0827859536180228783)   (-0.96988279314141123688,0.45389847332969868177)     (1.4004171654237089761,0.47844095052693724757)
   (-1.3747241839264017216,0.64117060410893966793)   (-0.68896861333272274575,-1.9135079600833468927)     (-0.86826617260646266061,1.519581222092032835)
   (2.5075178359500114311,0.045383310642738261542) (-0.32744567571674815243,-0.094128211263849848045)   (-1.2855271488211550412,-0.55293291028555890954)
   (-3.4755722025013415788,-1.1573534070529170048)   (-0.84640309054214946105,0.10030916296925575237)    (-1.4546880529789876224,-1.4626304830077558883)
    (-1.3456787703376089649,-1.754691490692919853)    (0.87228947251584809663,-1.0916416161158930542)    (-0.52762213210057617996,0.4119586967012111578)
   (-0.31616595641256717286,1.0412689694341947799)    (0.25879191644498145131,0.25449563720646328768)    (-0.6823601892003847702,0.65902893447569077523)
  (-0.35946440788707950675,-1.2184550650767864699)    (0.39772612252501160501,-1.7280030712830192208)   (-1.4258519083728697918,-0.20647556001496353284)
   (-1.5361020423226459108,0.81837123329473593358)   (-0.40229636829140980048,0.32325420775562102582)   (0.37499331509357153314,0.087357551370170760663)
    (0.85401673153180313047,2.3140406773921915473)     (1.6068516542915478595,-4.8961683989410804685)    (-1.787983482223524323,-0.35096293001085332453)
 (-0.28973899146540355032,-0.51709579773053893081)      (0.6186138388014896794,1.7414191454204877019)    (-4.9430795174335484532,-1.4562511830442355087)
  (-0.24184026328039395781,-5.9461290074812653828)    (2.2888439382736369687,-0.83931299527763392199)     (1.3089595588462936693,-2.2258802316538530697)
    (-1.998670548065081265,0.47926285000710838746)     (-0.32623923429042700484,1.282027818373617789)     (0.10340194662604261511,2.6051196634918993844)
   (-1.5363530994669747365,-1.8847627070032531016)     (-1.747921758703323114,0.98478405111688493978)   (-0.67849688454893930523,0.54042287507127695356)
   (2.1078000686101283634,-0.37153959252626245213)    (0.42423355327827755312,0.14454063187201812712)    (0.32677343755028881445,-1.5916835611455442123)
    (-2.1021061346000320391,1.2321004308073146838)     (1.0650434883968780131,-1.7070779184720457078)     (2.5041743012861750195,-2.5331493955890245218)
    (2.7584418058437742971,-1.0264158259781488436)     (1.7694151952190633192,0.83033231423716769015)    (-2.3414631617011858467,0.18092329879040769391)
    (-1.7758135589518377895,24.187516129609502258)    (-0.37041399527504204059,1.5293672218735090418)      (2.467895225051553787,0.71263632402350052253)
     (1.1831547277913794236,2.5227043088698120066)     (-1.4882861395510973423,1.3094518528063605611)    (-1.8491998909094102821,-1.4255353013016021091)
