# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
10, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
0
# Number of Solutions and Dumped-Solutions
8, 0 / 150
# Signs of Determinants
1 1 1 1 1 1 1 1
# Max norm of residue
1.65089e-15
# Configuration of Gaussian random numbers
    (-20.124577087735556091,4.6637845034939529043)    (-7.7066636786168549733,-6.8162288200476286448)     (5.1892021832909405177,-2.0979033915765223917)
    (-1.3025309359935719478,11.166106748102620827)       (2.238195462394504176,4.7643655020861883642)     (-11.605003548612961239,3.4264197754974166088)
    (21.401719485890254191,-5.7028971717479173265)   (0.22300622898166275188,-0.11143410831155624308)     (-0.9287510410456499832,6.8040213752330922503)
    (-3.4889869930993420155,-5.935982384702521486)     (-1.5422106979348948474,7.8621872989193333225)      (6.9498499636645298949,7.5648193481954377759)
   (11.190464070007966058,-0.56649649023743597898)     (0.80736622702787630423,13.870561805771185249)     (-7.433503900912994844,-6.2467448960287335069)
   (-7.663328698003146755,-0.29470010279384140084)      (1.4505229594795934212,2.6102892183079675625)     (-4.0413967149668588164,1.3652646986680565533)
    (10.119553587201068012,-5.8320009481466055234)      (1.1101227615720368203,2.2011151933809083303)     (-2.590178258448265769,-1.3740267027574579739)
   (0.98629437073869941077,-4.9418405655335133631)     (-6.7388940379826820504,11.890514615458348757)     (7.1199847433114751283,-11.062951817354358397)
     (-1.788222401820112939,1.3559857628135019159)    (-2.2929954923866051608,-10.098074461393350632)      (14.303997759869563566,4.3231575471466143767)
    (13.608846150655340423,-3.9491682958046854246)  (-0.072418930153214738921,-13.887575375526083121)     (1.3745815978462236906,-14.070375893969004011)
   (-2.594651035609629286,-0.70192582248635948527)     (-14.821886040534909768,7.8064619984722067869)       (-7.243220843970537004,1.465099787271373355)
    (-10.475337305680723077,10.369359687789367896)     (-9.6544416664722820798,4.9246550407436302521)      (0.48345340772025446885,3.568170121322564281)
   (-7.1447299163738726691,-1.7941417056557313892)     (2.0568900396615670267,0.51607456660513217894)     (1.8645510772713769221,-11.062311233120638576)
     (2.4037092897266671976,6.4549630903293131468)     (-4.5729927240272845168,1.0824254089556886171)    (6.7538235475535151053,-0.37709371868628055458)
     (9.3402556284303788203,8.9409061546125823128)      (13.014718398850687819,4.0158196699427870513)      (9.0804796701105843226,1.9043421743321045092)
   (-2.6583477822927563672,-2.4865294817849092901)     (1.2155518735596042568,-12.368078820769634163)     (-3.8224663535308551765,7.8159596258061618812)
    (-7.0914385969955517908,7.9500301565627831124)      (3.615636672537490437,-6.1788244795036169066)     (4.2812459442173196322,-6.6872949079604566691)
     (-4.0601581730380020829,2.321074316821796657)    (-8.1677879704180540443,-3.7306522682276810343)   (-5.0903535033658062758,-0.28394134691577088692)
    (1.9886519859057791848,-8.6144613702391126253)      (4.1172045418383955706,5.7016236600827197023)      (17.040612656189974672,8.0785947524237418094)
     (14.481394021517788318,2.3598062883115433763)      (-13.223983997841665783,12.42837323399178473)     (-1.2966497973445700875,1.4194311766132288177)
    (8.8046216975999875842,-4.8078230034973472584)     (-6.0630912952969691077,11.479718604819742822)      (1.7328505022306188721,2.5468426175848577486)
    (-5.6415646653338962224,2.4842955152163095356)     (4.6886271923720395094,0.82112816071867167356)     (3.7719235242629407523,-1.5949826815829843962)
    (-7.2866722078785901573,1.6405934720816346406)    (-7.2702278155119648417,0.36425000881064695246)     (3.2564559390429712593,-1.7788723725456010438)
     (-6.0582394099756236017,-3.95410961908789238)      (9.1172278251563234619,-3.664678458042076592)    (-3.7367614019872550379,-3.2663523350462555506)
    (-1.670556549910375832,-11.427958178806978395)       (6.500390107256085237,8.4376249713867856883)       (5.258052910962896398,4.6770534958211840149)
    (-1.3680639887101542218,12.778654098699659514)    (14.487474232665116247,-0.58321121188644897693)     (-10.491619634072760547,2.6623992176194097858)
     (2.8175020190417248145,1.8423339089616646014)    (-1.4026649751661104393,0.70244658611907828671)     (-10.989543882062109859,3.1288452371373218774)
   (-3.5375507462158881644,-11.648426073087472687)     (7.3027195790298664591,-2.9734192517058324334)    (-3.1947399754994179055,-2.5708487932155490441)
    (3.9467272878497814403,-15.399864997263543742)     (7.2532477190802193689,-12.289136646259404273)     (14.985782560221538873,0.80056204397858476973)
     (13.554843393062432355,8.7380218890766911954)     (2.0449032679561112147,-2.7906217260704369032)      (1.1384980641419455427,5.5068735616741513184)
   (-5.1806721571916742874,-2.7058616105645247885)      (1.2717594566523848787,4.7690636983038556806)     (11.632111464542290946,-5.3200061945751704329)
      (10.969316138228869306,2.899756693863728696)      (13.045975970304404257,15.319576772067934556)    (3.3622554061593494801,-0.27507284962592276623)
   (11.637745411438933374,-0.43433538802435706083)     (3.0448938789341402078,-4.2056880882515139675)      (-0.77987669951526250589,13.9864687013874196)
     (0.842608589590175594,-6.3438345944106862007)     (-10.40487422036897236,-2.4073290873692618774)     (-5.3187114893859259723,1.2025199980608083372)
     (3.2444874439250006581,7.2465409175743351611)    (0.50084630477913338886,-11.390949894886778893)    (-5.1199642681008636913,-11.942752131892012457)
    (-4.3345921773395206245,7.5523995340922303043)    (-1.4298484804268509762,-15.216154549673326812)    (-3.1593192427334839678,-9.1853150758814567922)
   (-3.4446504079393895914,-4.5025255709383023017)     (-3.9695901641792139536,2.1174875689463741324)   (-2.5364548410205065565,-0.29091053235093150553)
     (2.5917387109737504147,0.4962692069160665187)     (10.832338966632978128,-2.3070838876005068663)      (-4.8033507236321275613,9.391404332497437224)
    (-5.3729300669431427906,4.7330797672002677956)      (9.373939796099966415,-6.1936789155064433388)     (3.5594890520627977537,-2.8706766054718348968)
     (9.5079913678056389159,8.2883486398372152593)   (-0.031345394027805104087,6.8103004498053172355)    (-1.2563097006022359015,-3.2885845271592772932)
   (-3.8387079752308359559,-6.2287682189116271303)      (4.0198480902900621814,4.5803876617841305929)     (5.8739406343460434101,-11.048249422660742169)
    (7.0184691672078303171,-1.7590409629343330966)     (8.8075716004372939238,-3.7918048139758977477)    (-5.9869663288507295462,-4.2991520511289262885)
   (-5.1822009732767631007,0.46842348649877901812)      (2.2946460536998913859,6.4796828367515573177)    (-12.369148966079915652,-6.6320191414839140265)
    (1.0470394163412870547,-3.2790854107345159818)      (1.209355695846265677,-1.7691977588139680133)      (5.9255004207999357746,9.6416648005326468507)
    (-12.702821875069332691,2.0197301529894953198)    (-4.7608547334666857509,-11.994762856179344013)     (-4.283670800447695548,-3.6978955243827971167)
   (-22.816975722142515792,-10.197876929849005734)      (3.5919538519319336167,7.3723865643855948093)   (-0.21180939922873276426,-5.3464389535721918989)
     (5.7532643315085847391,7.5288495065870337797)    (-8.0610340024474425036,-8.3089753273129325351)      (1.8420990637820795488,2.6106849983419255778)
(-0.062595846084806366916,-0.58724721682401193057)    (-10.107280833363638806,-6.9262618503259147928)     (-4.0023846722108693541,2.3620642741029587164)
    (-3.0854440481489526782,4.0715644060594913256)      (16.837064928236930683,12.871045395821095525)    (0.78659706190051836838,-2.9449615182884656406)
   (-9.7746610541741993927,0.42526444528770768194)      (2.4331818438893537682,11.572679699821298627)   (-8.3795485912874596579,-0.33965833619135593624)
     (11.762725717729788144,9.0660741952311809655)      (10.724283709993661873,8.7480572743339042319)      (1.4167379689446344404,14.750839612825993541)
