# Superpotential Type
Custom
# Physical Box Size, Power, Coupling
10, 3,  0.3  0.3  0.3 0.03
# Nicolai Configuration Number
0
# Solution Configuration Number
7 / 8
# Sign of Determinant
1
# Norm of residue
7.55664e-16
# Configuration of a scalar field solution
   (-2.5361477280633781817,3.5577260982406144763)    (-2.38985407919624393,-0.14172571379611442755)   (0.43321109964108717172,-1.2534791340691215922)
     (1.604302500186483682,2.1928447942100688373)    (1.0681097727541859488,0.20272070905713149291)   (-0.87041538847661115152,2.9133383716394667395)
   (1.2357400119570047803,-5.7368431816056464356) (-0.078928056020638723278,0.16733386224650903529)     (1.2989769587224708758,1.2338045019845198524)
 (-2.0619804226741651476,-0.13802945774529268297)     (1.8764779411420722255,1.4009258614293291778)   (2.4386093962637831467,-0.87584285194398225904)
  (0.66903249532215169904,-4.0694813562674303498)    (4.3125003206709067172,0.90484199029896983379)    (-2.1086861393284395128,2.2149471060775800524)
  (-0.31314460632613599911,2.9650607498092553804)  (0.84878147843688089846,-0.81399249034098908329)    (0.35166646251634181564,1.1194079813148167801)
  (-2.0437434614541771793,-3.0637914331596953765)  (-0.10342618509540879579,-0.4414559759152874574) (-0.089332241799717548858,0.50480706773262185028)
 (-1.7347456416706996674,-0.19582343367550766877)    (4.1566732920419644515,0.89181530939468789398)   (-3.737239190102616071,-0.73073105526650328212)
(0.037163676754054714158,0.080809340334031656838)    (-1.7561535573579873937,1.9016446361970620327)   (-0.7774767763141496868,-3.9842485007976993217)
  (-2.6431716135823584146,-2.0191339202747675685)    (-2.7950058870526519605,2.3021029003793644918)    (-3.2750529768023115551,1.9443975778620090633)
  (0.11063906067588841209,0.39508777516002885344)     (3.5804850173055782214,1.0254346067896367156)    (1.2322626823021705089,0.96376408312915540222)
  (-0.66578970338402398976,4.0202369062404201827)    (-1.4085830366831930682,2.5106298182603348224)   (0.84836396321572382639,0.68434023119996745255)
    (-2.1138212076550515484,1.724765283862520926)  (0.12924962832219685782,-0.48354573217187191148)   (-1.7830073539055759646,-2.4390212730215119485)
   (1.5873210574269018824,0.91328085619021937003)   (-0.18000995435338834616,1.8350977236175025631)    (0.7406346838172446212,-1.6191657642203227674)
   (4.8445960046559353174,-1.2416093473625395838)    (3.3260116029394133363,-3.6910536235821904683)    (2.4255259006970737445,-2.3435345066323383101)
   (-1.0479406128850221602,1.2236164623355254566)   (-5.1052029273076682259,-2.0691456567580468473)     (2.4600886400184820424,2.1604549731622917363)
    (3.6695916418116443225,4.1573613451118500706)  (-2.9980090874465026296,-0.80061750188822411456)     (-1.909734053503552742,-1.746856165420530127)
  (0.83602930088353666349,0.59333987129175624897)   (-0.51945041457660279249,4.5326029058313297426)    (0.26645345024789296451,1.2137742399896713774)
   (-2.7376113462530322629,1.5574550155934470119)    (1.8580480961514507232,-2.3734813973846837776)  (-0.42990414460135489838,-6.2120156996612241329)
  (-1.6341705213249440032,-4.0492239705193542321)    (5.3428318828735488211,0.77393932832391865162)   (0.66376185938702247924,0.12471546117865008052)
 (-2.8361068733601975111,-0.81199006094237224929)    (3.2392656361565821399,-1.1082111734860389252)   (0.28816897023277993073,-1.0575121415239501221)
     (1.6220839377769538103,0.188451291479437677) (-0.72153256630677842232,-0.91748339023565650407) (-0.86373384069619540959,0.069202065754079139515)
   (-1.3374564324240070246,1.2620801225635072118)   (-1.8878249536272277975,0.97602533021263249147)   (0.64727800885473196768,-1.0238103863557932449)
  (-2.6695038392248298109,0.64498636014075050316)    (1.8256161167791673527,-2.4512339779036853571)  (-1.7470032699895789996,-0.10796033238675353805)
   (-2.3626341759797586661,-2.857332791841787234)    (4.2570169903248302745,0.64949986161285544473)   (2.6086685722822058331,-0.37084595400186287639)
    (4.2376998412509188086,3.7954011759633852208)    (3.4905498345219965195,-6.3301737180567059227)    (-1.3323865329006769898,4.2635036683806619706)
  (1.1377231649496251098,-0.36388048888352902965)   (-0.5812794729516270742,0.60753009091773801931)    (-1.6581846979538201747,5.6432556219221989835)
   (-6.5203363598359116438,1.4772373862520147281)  (-0.14326422555824233629,-3.9458458126278692646)   (-1.1560370077987589532,0.49590656011236267098)
  (-4.8894353067748337338,0.74307909859902943062)   (-8.0641222067817821539,-1.3235431754795565773)   (-2.0239740845109448486,-7.5038345330296705171)
